experiment,build,cell,aggregate_tps,ttft_avg_ms,ttft_p99_ms,itl_avg_ms,per_user_tps,spec_accept_rate,server_utilization
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx32768,381.743,464.951,932.64,9.961,101.593,0.5942,0.0391
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx65536,368.989,839.865,1614.8,10.593,94.49,0.5586,0.0565
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx134144,326.137,1507.805,2840.091,11.776,85.02,0.4706,0.0885
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx0,768.987,139.657,222.392,10.09,99.555,0.6541,0.0411
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx16384,756.421,502.378,1231.337,10.437,95.946,0.6195,0.0518
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx32768,743.647,911.456,2161.294,10.573,94.767,0.5158,0.066
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx65536,686.425,1499.354,3174.862,11.245,89.169,0.469,0.081
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx134144,550.901,2041.556,4946.985,13.943,72.072,0.5905,0.1114
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx0,1489.174,177.526,313.954,10.4,96.808,0.57,0.0885
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx16384,1356.158,1186.877,3073.682,11.622,86.313,0.5018,0.1023
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx32768,1228.697,1166.253,3320.244,12.759,78.636,0.5352,0.1102
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx65536,1004.24,2734.021,6368.155,15.547,65.143,0.573,0.1316
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx134144,713.395,6109.72,10759.346,21.099,47.609,0.5351,0.1596
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx0,2152.174,253.483,451.779,14.579,68.877,0.5292,0.1644
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx16384,1793.244,2316.775,5338.039,17.737,56.561,0.5204,0.2094
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx32768,1560.334,3418.675,7591.52,20.364,49.321,0.5161,0.2051
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx65536,1203.162,5971.962,11672.018,27.207,37.526,0.5671,0.2153
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx134144,919.765,18327.829,22928.097,33.748,29.812,0.5256,0.2659
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx0,92.724,62.048,67.818,9.757,105.712,0.3423,0.0051
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx16384,95.584,213.571,214.829,9.469,109.189,0.4667,0.013
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx32768,99.571,264.687,265.502,9.822,101.932,0.4386,0.0209
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx65536,93.358,462.679,500.249,10.488,95.556,0.5315,0.0375
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx134144,84.588,774.437,778.817,11.435,87.487,0.6162,0.0707
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx0,193.663,117.919,158.352,9.985,100.49,0.5631,0.0103
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx16384,188.792,272.227,395.668,9.851,104.257,0.5315,0.0194
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx32768,195.308,336.691,479.077,9.602,105.445,0.5538,0.0265
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx65536,183.789,577.441,811.733,10.644,93.996,0.3874,0.0439
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx134144,169.294,961.878,1429.251,11.476,87.163,0.5657,0.077
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx0,384.425,125.21,163.487,9.979,100.98,0.6514,0.0205
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx16384,384.607,366.348,734.261,9.83,102.996,0.7912,0.0304
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx32768,373.839,458.029,889.77,10.521,99.763,0.4636,0.0391
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx65536,358.465,777.763,1478.25,10.914,91.678,0.4468,0.0565
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx134144,329.013,1460.275,2835.438,11.73,85.318,0.5703,0.0893
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx0,758.445,145.704,243.107,10.131,99.64,0.6034,0.0419
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx16384,756.586,640.549,1599.851,10.279,98.145,0.5509,0.0565
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx32768,723.745,869.446,1984.731,10.807,92.725,0.5259,0.066
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx65536,684.351,1128.798,2385.726,11.335,88.421,0.525,0.0814
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx134144,547.051,2192.343,5392.852,13.979,72.843,0.6456,0.1094
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx0,1481.523,176.165,297.901,10.611,94.982,0.556,0.0901
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx16384,1387.09,1163.315,2986.582,11.311,88.702,0.5583,0.1047
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx32768,1181.86,1431.138,3538.286,13.181,76.146,0.5299,0.1063
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx65536,1006.682,3171.792,6277.661,15.476,64.827,0.5345,0.1272
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx134144,704.855,6869.176,11685.769,21.251,47.259,0.6204,0.1592
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx0,2145.802,252.281,424.813,14.599,68.741,0.5108,0.1644
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx16384,1796.983,2564.583,5384.25,17.628,56.951,0.5389,0.2027
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx32768,1600.382,3739.064,7163.664,19.747,50.832,0.5297,0.2051
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx65536,1216.975,5289.852,11711.351,26.879,37.778,0.5339,0.2141
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx134144,903.054,19873.044,22857.395,33.783,29.752,0.4867,0.2663
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx0,95.779,67.137,69.605,10.063,99.938,0.7568,0.0051
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx0,195.036,106.73,121.103,9.98,100.541,0.5482,0.0103
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx0,384.874,128.92,206.234,9.985,100.784,0.773,0.0205
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx0,753.226,145.139,198.868,10.114,99.93,0.6858,0.0419
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx0,1479.983,175.021,277.423,10.54,95.405,0.5441,0.0051
