experiment,build,config,phase,rep,cell,concurrency,context_tokens,aggregate_tps,per_request_avg_tps,ttft_avg_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,itl_avg_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,output_tps_per_user_avg,output_tps_per_user_p50,e2e_output_tps_per_user_avg,server_gen_throughput,server_utilization,spec_accept_rate,spec_accept_length,avg_running_reqs,max_running_reqs,queue_fraction,completed_request_count,num_errors,capacity_limited,underfilled,warmup_timed_out,measurement_seconds,source_file
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c2-ctx0,2,0,192.67,96.335,107.813,121.336,124.29,124.584,10.07,10.207,10.543,10.574,99.666,97.969,96.177,192.67,0.0103,0.6491,0.0,2,2,0.0,6,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c2-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c2-ctx16384,2,16384,191.426,95.713,279.9,259.781,322.085,421.968,10.105,10.198,10.551,10.563,99.24,98.062,95.985,191.426,0.0186,0.7049,0.0,2,2,0.0,6,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c2-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c2-ctx32768,2,32768,200.172,100.086,370.671,335.688,473.493,522.96,9.702,9.826,10.17,10.223,103.31,101.778,100.437,200.172,0.0265,0.5225,0.0,2.0,2,0.0,6,0,False,False,False,60.35,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c2-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c2-ctx65536,2,65536,188.49,94.245,553.544,492.726,700.055,820.058,10.424,10.374,10.601,10.662,95.953,96.394,93.923,188.49,0.0367,0.518,0.0,2.0,2,0.0,5,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c2-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c2-ctx134144,2,134144,169.424,84.712,969.227,862.626,1252.96,1408.671,11.385,11.393,11.754,12.038,87.933,87.772,83.044,169.424,0.077,0.7059,0.0,1.9,2,0.0,4,0,False,True,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c2-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c4-ctx0,4,0,388.414,97.103,120.788,120.808,139.099,139.724,10.079,10.112,10.69,10.786,99.472,98.889,97.523,388.281,0.0205,0.4955,0.0,4,4,0.0,12,0,False,False,False,60.29,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c4-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c4-ctx16384,4,16384,384.059,96.015,348.175,272.184,637.184,711.336,9.88,10.269,10.545,10.642,102.591,97.383,96.026,384.059,0.0241,0.6461,0.0,3.9,4,0.0,11,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c4-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c4-ctx32768,4,32768,380.476,95.119,450.133,314.94,852.971,913.208,10.064,10.21,10.828,10.842,100.844,97.943,94.616,380.476,0.0391,0.5132,0.0,4.0,4,0.0,10,0,False,False,False,60.3,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c4-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c4-ctx65536,4,65536,367.691,91.923,746.12,495.594,1499.863,1550.986,10.676,10.633,11.16,11.637,93.821,94.051,90.387,367.691,0.0565,0.5324,0.0,4.0,4,0.0,8,0,False,False,False,60.3,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c4-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c4-ctx134144,4,134144,320.382,80.096,1251.71,800.098,2531.492,2541.363,11.963,12.05,12.706,12.927,83.799,82.989,77.969,320.382,0.0897,0.5303,0.0,4.0,4,0.0,8,0,False,False,False,60.3,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c4-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c8-ctx0,8,0,757.703,94.713,150.533,125.709,200.708,202.173,10.148,10.323,10.831,11.179,99.369,96.874,95.44,757.703,0.0419,0.5634,0.0,8.0,8,0.0,23,0,False,False,False,60.26,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c8-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c8-ctx16384,8,16384,750.383,93.798,666.908,353.915,1586.747,1588.061,10.449,10.581,10.913,11.202,95.983,94.508,92.243,750.383,0.0573,0.5169,0.0,8,8,0.0,17,0,False,False,False,60.3,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c8-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c8-ctx32768,8,32768,716.211,89.526,888.873,381.48,2114.455,2116.243,10.953,11.007,11.451,11.727,91.453,90.849,87.039,716.211,0.066,0.4538,0.0,7.9,8,0.0,16,0,False,False,False,60.28,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c8-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c8-ctx65536,8,65536,684.472,85.559,1325.905,674.375,3195.677,3201.617,11.382,11.48,12.218,12.728,88.138,87.112,81.017,684.472,0.0818,0.556,0.0,7.8,8,0.0,16,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c8-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c8-ctx134144,8,134144,551.607,68.951,2119.963,1859.154,4340.186,4644.917,14.131,13.969,16.64,17.402,71.455,71.585,66.875,551.607,0.1094,0.5444,0.0,7.7,8,0.0,16,0,False,True,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c8-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c16-ctx0,16,0,1481.005,92.563,177.27,124.768,302.451,303.845,10.478,10.558,11.08,11.578,96.158,94.714,93.189,1481.005,0.0901,0.5489,0.0,16.0,16,0.0,38,0,False,False,False,60.27,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c16-ctx0.json
